provider,source,id,name,future_programmes,future_hours,desc_pct,sample_title,sample_desc,suspicious_clone,clone_group_size,url
openepg,qatar5,Euro-News.qa,Euro-News.qa,189,40.1,0.0,SCIENCE GUY S2 EP 10 - GEOLOGY,,False,1,https://www.open-epg.com/files/qatar5.xml
openepg,qatar5,UPDATEz-NGW Full Logo 20182.qa,UPDATEz-NGW Full Logo 20182.qa,188,40.0,0.0,5 Minutes - 1,,False,1,https://www.open-epg.com/files/qatar5.xml
openepg,qatar4,0001 AWG CN Brand Logo 1color Black 4C.qa,0001 AWG CN Brand Logo 1color Black 4C.qa,187,39.7,0.0,SCIENCE GUY S2 EP 10 - GEOLOGY,,False,1,https://www.open-epg.com/files/qatar4.xml
openepg,qatar4,cartoonito.qa,cartoonito.qa,185,39.6,0.0,فايق مينيتس,,False,1,https://www.open-epg.com/files/qatar4.xml
openepg,qatar5,Discovery-logo-1.qa,Discovery-logo-1.qa,182,41.0,0.0,Dylan’s Playtime Adventures S1 | E30,,False,1,https://www.open-epg.com/files/qatar5.xml
epgshare,AE1,Saudi.Al.Ekhbariya.HD.ae,Saudi Al Ekhbariya HD,181,84.0,100.0,Saudi Markets,Stay updated on the latest developments in both the Saudi and international markets with expert analysis and insights into economic shifts and strategic opportunities.,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,SA2,EN:.Asharq.sa,EN: Asharq,181,84.0,55.8,Radar Al Aswaq - Episode 526,"This show offers a thorough roundup of all major financial markets, starting with KSA and GCC markets, followed by European markets and US futures. It includes updates and news on oil and commodities, with a focus on significant statements and reports.",False,1,https://epgshare01.online/epgshare01/epg_ripper_SA2.xml.gz
openepg,qatar4,Cartoon-Network-Arabic-1.qa,Cartoon-Network-Arabic-1.qa,181,40.0,0.0,E30 | S1 ديلن وعالم اللعب,,False,1,https://www.open-epg.com/files/qatar4.xml
epgshare,AE1,Arirang.World.ae,Arirang World,177,84.0,100.0,Moo No Plan,Episode 4.,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Press.TV.HD.ae,Press TV HD,177,84.0,100.0,Moo No Plan,Episode 4.,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
openepg,qatar4,Bara3em-1.qa,Bara3em-1.qa,174,39.7,0.0,الأخبار,,False,1,https://www.open-epg.com/files/qatar4.xml
openepg,qatar4,Jeem-HD-1-01.qa,Jeem-HD-1-01.qa,173,39.7,0.0,الأخبار,,False,1,https://www.open-epg.com/files/qatar4.xml
epgshare,AE1,World.Fishing.Network.ae,World Fishing Network,169,84.1,100.0,Lake Pepin Walleyes,Jason Przekurat fishes with the Father Son team of Jarrad and Jordan Fluekiger to unlock the secrets of Lake Pepin.,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,SA2,EN:.MBC1.Iraq.sa,EN: MBC Iraq,169,84.0,63.3,TV guide is not available,,False,1,https://epgshare01.online/epgshare01/epg_ripper_SA2.xml.gz
epgshare,AE1,Zee.Alwan.ae,Zee Alwan,168,84.0,100.0,Lakhmi's Voyage,"Lakshmi is a simple village girl, who finds herself facing many obstacles since her parents died, and the plan for her marriage changed. Now, she's going to Mumbai to meet her new destiny. Rohit Suchanti, Aishwarya Khare, Maera Mishra, Akankshaa Rajput, Vaibhav Mathur, Muzammil Desai, Khwaja Mughal, Dheeraj Sarna, Ekta Kapoor.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,CNBC.Arabiya.ae,CNBC Arabiya,164,84.0,100.0,عصرالعولمة,No Desription Available.,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,DW.Arabia.HD.ae,DW Arabia HD,164,84.0,100.0,عصرالعولمة,No Desription Available.,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Nile.TV.ae,Nile TV,162,84.0,100.0,Newshour,". TRT World brings the latest news from around the globe, when it happens.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,TRT.World.ae,TRT World,162,84.0,100.0,Newshour,". TRT World brings the latest news from around the globe, when it happens.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
openepg,uae6,MBC3.ae,MBC3.ae,162,47.0,100.0,Masha And The Bear موسم 7 حلقة 137,دورة مكثفة,False,1,https://www.open-epg.com/files/uae6.xml
openepg,saudiarabia1,Disney Junior.sa,Disney Junior.sa,162,40.2,100.0,صوفيا الأولى: سحر ملكي:ايه رويال فاملي بيكنيك/ ذا رويال بلاي دايت,انضموا إلى صوفيا في تشارمزويل، حيث يحمل كل يوم دروسًا سحرية ومغامراتٍ ملكية!,False,1,https://www.open-epg.com/files/saudiarabia1.xml
epgshare,AE1,Kuwait.Al.Akhbar.ae,Kuwait Al Akhbar,161,84.0,100.0,One Boat One World,"On a huge ocean cruise that feels like a floating city, the intertwined lives of guests and crew unfold in joy and struggle, while security officer Ding Kai and tour leader Tian Yue fall in love amidst clashes with travelers, colleagues, and family. Likun Wang, Hans Zhang.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Kuwait.TV.2.HD.ae,Kuwait TV 2 HD,161,84.0,100.0,One Boat One World,"On a huge ocean cruise that feels like a floating city, the intertwined lives of guests and crew unfold in joy and struggle, while security officer Ding Kai and tour leader Tian Yue fall in love amidst clashes with travelers, colleagues, and family. Likun Wang, Hans Zhang.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Oman.TV.HD.ae,Oman TV HD,161,84.0,100.0,One Boat One World,"On a huge ocean cruise that feels like a floating city, the intertwined lives of guests and crew unfold in joy and struggle, while security officer Ding Kai and tour leader Tian Yue fall in love amidst clashes with travelers, colleagues, and family. Likun Wang, Hans Zhang.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,RT.Arabic.HD.ae,RT Arabic HD,161,84.0,100.0,The News Bulletin,"Newscast Major news, accompanied by field reports, comes directly from the scene of the event, no matter where it is located around the globe.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
openepg,qatar4,CBeebies-1.qa,CBeebies-1.qa,160,39.7,0.0,مباشر من باريس,,False,1,https://www.open-epg.com/files/qatar4.xml
epgshare,AE1,Al.Sahat.TV.ae,Al Sahat TV,159,84.0,100.0,News,Investigation Reviewing the latest and most recent news around the world.,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Anewz.ae,Anewz,159,84.0,100.0,News,Investigation Reviewing the latest and most recent news around the world.,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,TRT.Arabiya.ae,TRT Arabiya,159,84.0,100.0,News,Investigation Reviewing the latest and most recent news around the world.,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,CGTN.ae,CGTN,157,84.0,100.0,Zoom in,". A TV news magazine show packed with top stories from around the world. The weekly program zooms in on the details of trending news items and zooms out to give viewers the bigger picture. With in-depth analysis and current perspective, Zoom in takes you on a journey beyond the daily headlines.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,CGTN.Arabic.ae,CGTN Arabic,154,84.0,100.0,CGTN — أخبار,No Desription Available.,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,TV5.Monde.ae,TV5 Monde,153,86.0,100.0,ÉCHAPPÉES BELLES,", Episode 13, Season 19. Colorado, back to the roots With its mountainous relief in the east and desert in the west, Colorado is a mosaic of national parks.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,BBC.Arabic.ae,BBC Arabic,153,84.0,100.0,BBC News,"Newscast Keep you up to date with the hottest events and news from every capital in the world, along with in depth reports. Victoria Derbyshire.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Qatar.2.HD.ae,Qatar 2 HD,152,84.5,100.0,In Society,"Debate Exploring Qatar's vibrant culture and evolving society, and offering a compelling look at local stories and pressing issues. It provides a revealing perspective on the nation's ongoing transformations. Hanan Alemadi.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
