country,name,id,provider,source,future_programmes,future_hours,desc_pct,sample_title,sample_desc,quality_score,alternatives,alternative_sources,url
Saudi Arabia,Moonbug Kids.sa,Moonbug Kids.sa,openepg,saudiarabia5,81,40.8,100.0,Little Angel,Little Angel,242.2,0,,https://www.open-epg.com/files/saudiarabia5.xml
UAE,MBC4.ae,MBC4.ae,openepg,uae6,69,47.4,100.0,أنا أم موسم 2 حلقة 208,تقرر أليس أن تقدم لحسن هدية مميزة. تثير أناقة وجمال سعاد صدمة الجميع عند خروجها للقاء إحسان. أما سلمى، فتستاء من عودة كفاح إلى حياة السهر.,240.1,0,,https://www.open-epg.com/files/uae6.xml
Saudi Arabia,HGTV.sa,HGTV.sa,openepg,saudiarabia1,78,41.1,100.0,تجديد ألوها:إعادة إعمار حريق لاهينا,يعمل كاموهاي وتريستين على إعادة بناء الأمل بعد حرائق لاهاينا.,239.65,1,openepg:saudiarabia2:HGTV.sa,https://www.open-epg.com/files/saudiarabia1.xml
Saudi Arabia,CN Arabic.sa,CN Arabic.sa,openepg,saudiarabia1,77,41.0,100.0,كريغ أوف ذا كريك:بيغ بينشي,أمسك سيفك الخاص المصنوع من ورق-التواليت وتابع الأصدقاء كريغ، جي بي، كيلسي وهم يستكشفون الخليج قرب حيّهم. عالم مفتوح لا حدود له، تديره شخصيات ملونة تعزز المغامرات الخيالية المتجددة كل يوم.,238.5,1,openepg:saudiarabia2:CN Arabic.sa,https://www.open-epg.com/files/saudiarabia1.xml
Saudi Arabia,Al Mamlaka TV.sa,Al Mamlaka TV.sa,openepg,saudiarabia1,75,41.5,100.0,المملكة اليوم,يتناول البرنامج الأحداث والأخبار السياسية والاجتماعية ومشاكل وهموم المواطنين اليومية.,237.25,1,openepg:saudiarabia2:Al Mamlaka TV.sa,https://www.open-epg.com/files/saudiarabia1.xml
UAE,الشرق.ae,الشرق.ae,openepg,uae6,67,47.5,98.5,مؤشرات الشرق,يركز هذا البرنامج الاقتصادي على متابعة أداء الأسواق الخليجية، وفي مقدمتها السوق السعودي، حيث يقدّم تغطية دقيقة ومباشرة لحركة المؤشرات والأسهم، إلى جانب أبرز أخبار الشركات المدرجة والتطورات المالية المؤثرة في السوق. ويتميّز البرنامج بتقديم تحليلات معمّقة وتحديثات لحظية تساعد المستثمرين على فهم ديناميكيات السوق واتخاذ قرارات مدروسة.كما يوسّع البرنامج نطاق تغطيته ليشمل سوق الأسهم المصري، مستعرضًا أبرز التحركات والتقارير المرتبطة بالشركات والقطاعات الحيوية هناك. ومن آسيا، ينضم معن فاضل من سنغافورة ليقدّم نظرة تحليلية على أداء الأسواق الآسيوية، بما في ذلك بورصات الصين واليابان والهند، مع التركيز على المؤشرات الاقتصادية والتوجهات الاستثمارية.وفي النصف الثاني من الحلقة، ينتقل البرنامج إلى متابعة افتتاح الأسواق الأوروبية، متناولًا أبرز المؤشرات مثل داكس الألماني وفوتسي البريطاني، بالإضافة إلى العقود الآجلة الأميركية التي تعكس توقعات المستثمرين قبل بدء التداول في وول ستريت. بهذه التغطية الشاملة، يمنح البرنامج المشاهدين رؤية عالمية متكاملة لأداء الأسواق، ويضعهم في قلب الحدث الاقتصادي لحظة بلحظة.,237.05,0,,https://www.open-epg.com/files/uae6.xml
UAE,MBC Persia.ae,MBC Persia.ae,openepg,uae6,66,48.0,98.5,حلم أشرف موسم 2 حلقة 116,بينما تصعد نيسان سلم النجاح، يجد أشرف نفسه وسط لعبة خطيرة تختبر حدود الثقة والولاء والبقاء.,236.8,0,,https://www.open-epg.com/files/uae6.xml
Saudi Arabia,OSNtv Pop Up.sa,OSNtv Pop Up.sa,openepg,saudiarabia5,74,41.5,100.0,The Amazing World Of Gumball,The Amazing World Of Gumball,236.25,0,,https://www.open-epg.com/files/saudiarabia5.xml
UAE,MBC Action.ae,MBC Action.ae,openepg,uae6,64,47.5,100.0,Kingdom الموسم 1 الحلقة 21,وسط منافسات شرسة، يقترب جيش تشين من توحيد الصين. لكن مع ظهور تحالفات غير مسبوقة، تواجه المملكة أعظم تحد لها، معتمدة على الخطط الحربية والشجاعة لتجاوز خطر الفناء وترسيخ مكانتها في التاريخ.,235.25,0,,https://www.open-epg.com/files/uae6.xml
Saudi Arabia,Alfa Al Safwa.sa,Alfa Al Safwa.sa,openepg,saudiarabia5,73,41.0,100.0,Al Qaymariya Neighborhood,Al Qaymariya Neighborhood,234.5,0,,https://www.open-epg.com/files/saudiarabia5.xml
UAE,قناة العاصوف.ae,قناة العاصوف.ae,openepg,uae6,63,47.3,100.0,العاصوف الموسم 3 الحلقة 10,تستمر التحديات التي تواجه عائلة الطيان وتتصاعد حدتها تزامنا مع غزو الكويت وحرب الخليج.,233.95,0,,https://www.open-epg.com/files/uae6.xml
Egypt,إم بي سي 3.eg,إم بي سي 3.eg,openepg,egypt1,80,39.5,92.5,برنامج Hungry Brain,,233.25,0,,https://www.open-epg.com/files/egypt1.xml
Saudi Arabia,Alfa Series +2 HD.sa,Alfa Series +2 HD.sa,openepg,saudiarabia5,42,60.5,100.0,Baba Geh,Baba Geh,232.75,0,,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,RT Documentary.sa,RT Documentary.sa,openepg,saudiarabia1,70,41.5,100.0,إنذار أحمر,ترقبوا هذا البرنامج الوثائقي.,232.25,1,openepg:saudiarabia2:RT Documentary.sa,https://www.open-epg.com/files/saudiarabia1.xml
UAE,قناة باب الحارة.ae,قناة باب الحارة.ae,openepg,uae6,60,47.8,100.0,باب الحارة موسم 6 حلقة 29,أم عصام تدعوا نساء الحارة لكي تجمع التبرعات منهم لدعم الثوار وأحرار سوريا المناوئين للاحتلال الفرنسي,231.7,0,,https://www.open-epg.com/files/uae6.xml
Saudi Arabia,CNBC Arabia.sa,CNBC Arabia.sa,openepg,saudiarabia1,69,41.0,100.0,شخصيات اقتصادية,يبوح كبار رجال المال والأعمال في العالم العربي والمنطقة بأسرار نجاحهم وازدهار أعمالهم، يحاول استيضاح نقاط القوة في شخصية الضيف والظروف التي استفاد منها في مسيرته العملية.,230.5,1,openepg:saudiarabia2:CNBC Arabia.sa,https://www.open-epg.com/files/saudiarabia1.xml
Saudi Arabia,MOTORVISION.sa,MOTORVISION.sa,openepg,saudiarabia5,69,40.9,100.0,Fastzone 2025,Fastzone 2025,230.35,0,,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,stc tv family.sa,stc tv family.sa,openepg,saudiarabia1,68,41.0,100.0,عيال الحالة:عندنا زيارة 1,زيارة وفد فجأة إلى المدرسة النموذجية، يتسبب بالفوضى ويقلب أحداث اليوم رأساً على عَقب.,229.5,1,openepg:saudiarabia2:stc tv family.sa,https://www.open-epg.com/files/saudiarabia1.xml
Saudi Arabia,Sky News Arabia HD.sa,Sky News Arabia HD.sa,openepg,saudiarabia5,66,41.5,100.0,News,News,228.25,2,openepg:saudiarabia1:Sky News Arabia HD.sa;openepg:saudiarabia2:Sky News Arabia HD.sa,https://www.open-epg.com/files/saudiarabia5.xml
UAE,MBC5.ae,MBC5.ae,openepg,uae6,57,47.3,100.0,حياة,تعيش حياة، وهي فتاة طموحة وسط عائلة مضطربة حيث تربي إخوتها، وتعتني بأمها المريضة، وتنقذ أباها المدمن من المشاكل، وتبقى متفائلة بالرغم من كل الألم.,227.95,0,,https://www.open-epg.com/files/uae6.xml
Egypt,MBC 3.eg,MBC 3.eg,openepg,egypt2,87,43.0,69.0,برنامج Hungry Brain,,226.7,0,,https://www.open-epg.com/files/egypt2.xml
Saudi Arabia,STV1 HD.sa,STV1 HD.sa,openepg,saudiarabia5,64,41.5,100.0,Al Share' Al Saudi,Al Share' Al Saudi,226.25,0,,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,OSNtv iQIYI.sa,OSNtv iQIYI.sa,openepg,saudiarabia5,62,41.5,100.0,The Day Of Becoming You,The Day Of Becoming You,224.25,0,,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,Padel TV.sa,Padel TV.sa,openepg,saudiarabia5,62,41.5,100.0,"Hexagon Cup 2026, Day 4 - Brea - Calvo","Hexagon Cup 2026, Day 4 - Brea - Calvo",224.25,0,,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,OSNtv Showcase.sa,OSNtv Showcase.sa,openepg,saudiarabia5,62,41.0,100.0,Grace,Grace,223.5,0,,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,Saudi 1.sa,Saudi 1.sa,openepg,saudiarabia1,60,41.5,100.0,الشارع السعودي,برنامج الشارع السعودي، يكشف ما خلف الكواليس: أصوات المواطنين وأبرز التحديات التي تواجههم في ظل رؤية 2030. تصريحات مباشرة، خبراء ومسؤولون ضيوف، وحوارات تكشف الواقع وتفتح أبواب التغيير للمشاهدين.,222.25,1,openepg:saudiarabia2:Saudi 1.sa,https://www.open-epg.com/files/saudiarabia1.xml
Saudi Arabia,OSNtv Showcase Classics.sa,OSNtv Showcase Classics.sa,openepg,saudiarabia5,60,41.3,100.0,Room 104,Room 104,221.95,0,,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,MBC 4 HD.sa,MBC 4 HD.sa,openepg,saudiarabia1,60,41.1,100.0,أنا أم:الحلقة 208,بعد أذية زوجها لها، تعود كارسو إلى منزل والدتها بعد سنين طويلة مع أطفالها الثلاثة على أمل إعادة بناء حياتها.,221.65,3,openepg:saudiarabia2:MBC 4 HD.sa;openepg:saudiarabia3:MBC 4 HD.sa;openepg:saudiarabia4:MBC 4 HD.sa,https://www.open-epg.com/files/saudiarabia1.xml
Saudi Arabia,Food Network.sa,Food Network.sa,openepg,saudiarabia1,60,41.0,100.0,المرأة الرائدة:عشاء لاثنين,تشارك المدونة الحائزة على عدة جوائز وفتاة المدينة السابقة (ري دراموند) في هذا البرنامج علامتها التجارية الخاصة للطهي المنزلي، من وجبات الطعام المجمعة إلى الابتكارات الأنيقة.,221.5,1,openepg:saudiarabia2:Food Network.sa,https://www.open-epg.com/files/saudiarabia1.xml
Saudi Arabia,Abu Dhabi TV HD.sa,Abu Dhabi TV HD.sa,openepg,saudiarabia5,59,41.5,100.0,News Bulletin,News Bulletin,221.25,2,openepg:saudiarabia1:Abu Dhabi.sa;openepg:saudiarabia2:Abu Dhabi.sa,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,OSNtv One.sa,OSNtv One.sa,openepg,saudiarabia5,59,41.4,100.0,The Voice,The Voice,221.1,0,,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,Nat. Geo. Wild HD.sa,Nat. Geo. Wild HD.sa,openepg,saudiarabia1,59,41.3,100.0,ذي إنكريدابل د. بول:بولّ أون باترول,"مع أكثر من 19,000 مريض، رأى الدكتور بول كل شيء. في هذه السلسلة، سنسافر معه عبر ميشيغان الريفية لرعاية الحيوانات الأليفة، وكل رأس من الماشية.",220.95,1,openepg:saudiarabia2:Nat. Geo. Wild HD.sa,https://www.open-epg.com/files/saudiarabia1.xml
Egypt,OSN Ya Hala.eg,OSN Ya Hala.eg,openepg,egypt2,56,43.2,100.0,Baba Geh,"Hisham finds himself at a crossroads after being laid off from his job in a hotel, due to the coronavirus pandemic. However, he must find work and take care of his family under difficult circumstances.",220.8,0,,https://www.open-epg.com/files/egypt2.xml
Egypt,MBC Iraq.eg,MBC Iraq.eg,openepg,egypt2,54,43.6,100.0,Awdat Khalati,"As Hamida dedicates her life to building her own fashion empire, she is forced to face a new and dangerous world in order to save her sister Dalia's children from the problems they got involved in.",219.4,0,,https://www.open-epg.com/files/egypt2.xml
Egypt,MBC Drama +.eg,MBC Drama +.eg,openepg,egypt2,54,43.3,100.0,Kafeel,"A woman’s life is turned upside down when she discovers the truth about her husband. As his behavior becomes increasingly erratic, family pressures mount, and emotional distance grows between them, she is forced to confront the problems in her marriage before they take control of her life and destroy it.",218.95,1,openepg:egypt2:MBC Drama.eg,https://www.open-epg.com/files/egypt2.xml
Egypt,MBC Masr Drama.eg,MBC Masr Drama.eg,openepg,egypt2,53,43.5,100.0,Afrah Ebles 3,"Hammam returns to the arms trade after losing his fortune in the fire that nearly killed him. Meanwhile, Zain discovers shocking truths about Gaber. Abed pursues his path of revenge against Noman, no matter the cost.",218.25,0,,https://www.open-epg.com/files/egypt2.xml
Saudi Arabia,Alfa Al Yawm HD.sa,Alfa Al Yawm HD.sa,openepg,saudiarabia5,54,42.5,100.0,Layali,Layali,217.75,0,,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,CNN HD.sa,CNN HD.sa,openepg,saudiarabia5,55,41.5,100.0,CNN This Morning Weekend,CNN This Morning Weekend,217.25,2,openepg:saudiarabia1:CNN.sa;openepg:saudiarabia2:CNN.sa,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,stc tv drama.sa,stc tv drama.sa,openepg,saudiarabia1,55,41.0,100.0,مدرسة النخبة:الحلقة 3,ينقسم الجميع حول حقيقة رزان، بين من يراها ضحية ومن يراها مجرمة. ومع ظهور ريان، توأم دلال، تنقلب مجريات التحقيق ويفتح الجرح من جديد.,216.5,1,openepg:saudiarabia2:stc tv drama.sa,https://www.open-epg.com/files/saudiarabia1.xml
Saudi Arabia,Nat. Geographic.sa,Nat. Geographic.sa,openepg,saudiarabia1,55,40.9,100.0,آلات بحرية عملاقة:جسور عائمة,حين يستحيل البناء على اليابسة، يلجأ المهندسون إلى الجسور العائمة، متحدين حركة المرور والطقس وتقلبات المياه للحفاظ على سلامة هذه الروابط الحيوية.,216.35,1,openepg:saudiarabia2:Nat. Geographic.sa,https://www.open-epg.com/files/saudiarabia1.xml
Saudi Arabia,MBC+ Drama HD.sa,MBC+ Drama HD.sa,openepg,saudiarabia1,55,40.8,100.0,الحصاد المر:الحلقة 2,يتغير عالم زينة عندما تدرك أن جمشيد قد لا يكون الرجل الذي تثق به. ومع ازدياد ابتعاده عنها تحت ضغط العائلة، يتوجب عليها أن تصلح زواجها قبل أن ينهار.,216.2,6,openepg:saudiarabia1:MBC Drama HD.sa;openepg:saudiarabia5:MBC Drama.sa;openepg:saudiarabia2:MBC+ Drama HD.sa;openepg:saudiarabia2:MBC Drama HD.sa;openepg:saudiarabia3:MBC Drama HD.sa;openepg:saudiarabia4:MBC Drama HD.sa,https://www.open-epg.com/files/saudiarabia1.xml
Saudi Arabia,MBC VARIETY.sa,MBC VARIETY.sa,openepg,saudiarabia1,53,42.1,100.0,ميغامايند,فيلم مليء بالإثارة حافل بالمغامرة والتصرفات الغريبة المضحكة، يقدم أبطال خارقين لكن بطريقة جديدة ومسلية جداً. تتحقق أحلام (ميغامايند) غير البطولية عندما يقهر حارس (ميترو سيتي) الذي يدعى (ميترو مان). لكن ما الذي يحدث لدى ظهور شرير جديد يثير الفوضى والارتباك أينما حل؟,216.15,1,openepg:saudiarabia2:MBC VARIETY.sa,https://www.open-epg.com/files/saudiarabia1.xml
