canonical,winner_provider,winner_source,winner_id,winner_name,future_programmes,future_hours,desc_pct,rank_score,alternatives_count,alternatives,decision
bein sports66 digital mono 01 en,epgshare,BEIN1,beIN_SPORTS66_DIGITAL_Mono-01_EN.bein,beIN_SPORTS66_DIGITAL_Mono-01_EN,11,59.2,0.0,91.62,0,,UNIQUE
news digital mono ar,epgshare,BEIN1,NEWS_DIGITAL_Mono_AR.bein,NEWS_DIGITAL_Mono_AR,60,33.7,0.0,91.5,0,,UNIQUE
news digital mono en,epgshare,BEIN1,NEWS_DIGITAL_Mono_EN.bein,NEWS_DIGITAL_Mono_EN,60,33.7,0.0,91.5,0,,UNIQUE
series1 digital qa,openepg,qatar5,SERIES1 DIGITAL.qa,SERIES1 DIGITAL.qa,44,38.7,0.0,91.05,1,openepg:qatar4:SERIES1 DIGITAL.qa:89.0,WINNER_OF_DUPLICATES
bein sports fta digital mono en,epgshare,BEIN1,bein_SPORTS_FTA_DIGITAL_Mono_EN.bein,bein_SPORTS_FTA_DIGITAL_Mono_EN,7,60.7,0.0,90.85,0,,UNIQUE
gourmet digital qa,openepg,qatar5,GOURMET DIGITAL.qa,GOURMET DIGITAL.qa,45,37.8,0.0,90.53,1,openepg:qatar4:GOURMET DIGITAL.qa:89.29,WINNER_OF_DUPLICATES
bein sports2 english digital mono en,epgshare,BEIN1,beIN_SPORTS2_ENGLISH_Digital_Mono_EN.bein,beIN_SPORTS2_ENGLISH_Digital_Mono_EN,8,59.2,0.0,89.52,0,,UNIQUE
nat geo qa,openepg,qatar5,Nat geo hd.qa,Nat geo hd.qa,40,38.7,0.0,88.25,1,openepg:qatar4:Nat geo hd.qa:83.4,WINNER_OF_DUPLICATES
2023 alkass 7 qa,openepg,qatar2,2023 Alkass 7.qa,2023 Alkass 7.qa,39,38.2,0.0,86.87,0,,UNIQUE
drama stacked nov 2024 200x200 qa,openepg,qatar5,Drama Stacked nov 2024 200x200.qa,Drama Stacked nov 2024 200x200.qa,37,38.7,0.0,86.15,1,openepg:qatar4:Drama Stacked nov 2024 200x200.qa:84.1,WINNER_OF_DUPLICATES
