provider,source,id,name,future_programmes,future_hours,desc_pct,sample_title,sample_desc,url
epgshare,AE1,Al.Arabiya.HD.ae,Al Arabiya HD,122,85.0,100.0,Mundial,"Analyzes the key events of the World Cup, showcasing match results, team rankings, and strategies employed on the field, with insights from a panel of analysts and experts.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Al.Hadath.ae,Al Hadath,86,85.0,100.0,سكاي نيوز عربية,No Desription Available.,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Sky.News.Arabia.HD.ae,Sky News Arabia HD,86,85.0,100.0,سكاي نيوز عربية,No Desription Available.,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Saudi.Al.Ekhbariya.HD.ae,Saudi Al Ekhbariya HD,184,85.0,100.0,Here Is Riyadh,"People Journalist Ayman Al Hammad brings together a distinguished group of experts to engage in in-depth discussions and provide insightful commentary on the most significant regional and international political issues shaping the global landscape. Ayman al Hammad, Ayman Al Hammad.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,BBC.Arabic.ae,BBC Arabic,156,85.0,100.0,4Tech,"Magazine Get ready for tons of stunning discoveries in the hectic crazy world of technology, as all amazing websites, cutting edge technology and stunning innovations are under the spot. Nassim Ramadan.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Extra.News.HD.ae,Extra News HD,113,85.0,100.0,Newsletter,"Investigation Delivering the most significant and up-to-date news, including economics, politics, sports, and a wide range of other important domains, to keep audience thoroughly informed on the latest global developments.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,RT.Arabic.HD.ae,RT Arabic HD,164,85.0,100.0,The News Bulletin,"Newscast Major news, accompanied by field reports, comes directly from the scene of the event, no matter where it is located around the globe.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,CGTN.Arabic.ae,CGTN Arabic,157,85.0,100.0,مسرحيات تلفزيونية,No Desription Available.,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,France.24.Arabic.ae,France 24 Arabic,451,85.0,100.0,Axes,", Episode 4. Wassim Al Ahmar welcomes a rechercher or great thinker. Together, they explore social upheavals and polticial challenges facing the world today. Wassim Al Ahmar.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,B4U.Plus.ae,B4U Plus,0,0,0.0,,,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Zee.Aflam.ae,Zee Aflam,47,85.0,100.0,Sajini Shinde Ka Viral Video,"The mysterious disappearance of a female school teacher following the online release of a video featuring her compels a police officer to delve into the case, seeking to unravel the truth and the potential link to the leaked footage. Radhika Madan, Nimrat Kaur, Bhagyashree Patwardhan, Subodh Bhave, Soham Majumdar, Mikhil Musale, Mikhil Musale, Anu Singh Choudhary.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Zee.Alwan.ae,Zee Alwan,171,85.0,100.0,The Son-in-Law,"Sidhart, a rich man, falls in love with Roshni who wants to marry a simple man, so to marry her, Sidhart hides his real identity, would Roshni discover that? Nia Sharma, Ravi Dubey.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Al.Aan.TV.ae,Al Aan TV,0,0,0.0,,,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,LBC.ae,LBC,78,85.0,100.0,Good Neighbors,"A quiet man lives with his wife, but their peaceful life is short-lived after new neighbors with five children move in next door, quickly becoming a source of constant noise and trouble. Sameh hussein, Merna Al Mohandes, Dina Mohsen, Soliman Eid, Badriah Tolbah, Ahmed Aisa, Tamer Bsyony, Sameh Hussein.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,CBC.ae,CBC,69,85.0,100.0,Kids Today,"Offers clear and accessible guidance for parents through scientific and cultural perspective to explain the principles of raising children and their developmental stages, while helping families solve daily issues at home with practical solutions. Noha Abu Sitta.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Sudan.TV.ae,Sudan TV,85,85.0,100.0,Al Kabir Awi,"A year after their marriage, the elderly mayor of Mazarita is experiencing many problems with his wife, Marbouha, who believes that he is cheating on her. Johnny gives her advice that might help solve these problems. Ahmed Mekki, Bayoumi Fouad, Rahma Ahmed Farag, Hisham Ismail, Mohamed Sallam, Hussein Abu Hajaj, Leila Ezz Al Arab, Hatem Salah, Mostafa Ghareb, Abdul Rahman Hasan, Ahmed El-Gendy, Mostafa Saqr, Ahmed Mekky, Mostafa Ghareeb, Ahmed El Gendy, Mostafa Gharieb, Laila Ezzelarab, Mustafa Gharib.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,On.Drama.ae,On Drama,85,85.0,100.0,Al Kabir Awi,"A year after their marriage, the elderly mayor of Mazarita is experiencing many problems with his wife, Marbouha, who believes that he is cheating on her. Johnny gives her advice that might help solve these problems. Ahmed Mekki, Bayoumi Fouad, Rahma Ahmed Farag, Hisham Ismail, Mohamed Sallam, Hussein Abu Hajaj, Leila Ezz Al Arab, Hatem Salah, Mostafa Ghareb, Abdul Rahman Hasan, Ahmed El-Gendy, Mostafa Saqr, Ahmed Mekky, Mostafa Ghareeb, Ahmed El Gendy, Mostafa Gharieb, Laila Ezzelarab, Mustafa Gharib.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Kuwait.TV.1.HD.ae,Kuwait TV 1 HD,118,85.0,100.0,Special Dishes,"In each episode, food and cooking expert Jana Al Ghanim selects a delicious dish from a wonderful restaurant, uncovering the restaurant's story and the essence of its cuisine, and adding her unique touch to the dish. Jana Al Ghunaim.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Nile.Cinema.ae,Nile Cinema,47,85.0,100.0,The Storm,"A dramatization of the repercussions of the Gulf War through the story of a mother facing her worst nightmares: Her two sons are fighting against each other in two different armies. Yousra, Hisham Selim, Hanan Turk, Hani Salama, Mohamed Najaty, Khalid Youssef, Khalid Youssef, Hesham Selim.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Jordan.TV.HD.ae,Jordan TV HD,191,85.0,100.0,Sura Ma' Sura,"Through a blend of comedy and drama, everyday life unfolds, revealing social behaviors and challenges in a bold, authentic portrayal with short, connected, separate episodes. Yousef Alamouri, Alaa Rababah, Hussein Tubaisht, Tala Al Helw, Mamhoud Youssif, Nasser Abu Pasha, Anji Lakoud, Rawan Thalji, Mohamed Sobeh, Hussein Tabishat, Husain Tobaishat, Husain Tobaishat.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,MBC.Masr.2.HD.ae,MBC Masr 2 HD,83,85.0,100.0,A Kinship Relationship,"Doctor Hosam and his wife are struggling to conceive a child. After all their attempts fail, the husband decides to take matters into his own hands, but he must face the consequences of his choice. Eyad Nassar, Asma Abulyazeid, Yousra Allozy, Abed Anany, Muhammed Gomaa, Salwa Mohamed Ali, Safaa Galal, Tamer Nady, Muhammad Hisham Obiya, Asmaa Abulyazeid.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Roya.TV.HD.ae,Roya TV HD,65,87.5,100.0,Caravan,"People Caravan discusses the youth issues and problems through special segments like pink and blue, action and cut, Asad talents, and lots of exciting segments. Dana Abdel Aal, Aya Khayyat, Zaid Bawab, Khalid Labib.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Sada.El.Balad.ae,Sada El Balad,86,86.0,100.0,Over My Responsibility,"Debate A distinguished analysis of the most important local and Arab political events, presented by journalist Ahmed Mousa along with leading experts and analysts. Ahmed Mousa.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,DMC.ae,DMC,66,86.5,100.0,Arabic Movie,Drama A library of great and enjoyable films that have an immortal mark on the memory of Arab cinema.,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Sharjah.HD.ae,Sharjah HD,112,85.0,100.0,Friends Together,Show It focuses on respectable Emirati role models of talented children and youth in order to provide a good example for their peers.,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,SBC.HD.ae,SBC HD,84,85.0,100.0,Kandosh,"Despite being a husband and father, wealthy Azmi can't control his feelings for his widowed neighbor. This turns his life upside down, challenging his morals and principles. Ayman Zidan, Sulaf Fawakherji, Samia Algzaary, Sabah Al Jazaaery, Shukran Murtaja, Samir Hussein, Hossam Tahseen Beek, Shoukran Mortaja, Ayman Zeidan, Hossam Tahseen Bek, Sabah Jazairi, Sameer Hussain.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Saudi.HD.ae,Saudi HD,112,85.4,100.0,Paintbrush,Handicraft Shedding the light on the field of art for children and teaching them different types of painting and handcrafts.,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,AD.Sports.1.HD.ae,AD Sports 1 HD,71,86.0,100.0,UAE Pro League,14 amazing football teams from around UAE play against each other to have the honor of being the champion of this highly ranked league.,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,AD.Sports.2.HD.ae,AD Sports 2 HD,72,86.0,100.0,Khaled Bin Mohamed Bin Zayed Al Nahyan Jiu-Jitsu Championship,"Martial Sports A premier showcase in the UAE that features elite grapplers Jiu-Jitsu competing for both national, and international recognition.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Yas.TV.HD.ae,Yas TV HD,69,88.6,100.0,SailGP,"Water Sports Abu Dhabi hosts the Abu Dhabi Sailing Grand Prix, where ten national teams from different countries compete using fast sailing boats at Mina Zayed.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Dubai.Sports.1.HD.ae,Dubai Sports 1 HD,70,85.5,100.0,Sharjah Cycling Tour,"Cycling International riders participate in the Sharjah International Cycling Tour, where competitions continue over five days through five exciting stages.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Dubai.Sports.2.ae,Dubai Sports 2,62,85.0,100.0,EuroLeague,"Basketball It is Europe's premier club competition, featuring top teams competing annually for continental dominance in a season-long tournament.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Dubai.Racing.1.HD.ae,Dubai Racing 1 HD,49,86.0,100.0,Studio Arabic - Sprint Haydock,"Investigation Providing live coverage, expert analysis, and highlights of the Sprint Haydock, featuring exciting speed, strategy, and standout performances.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Dubai.Racing.2.ae,Dubai Racing 2,80,87.6,100.0,Our Fields,"Debate National, regional, and international sports news and events are displayed, as are the most important and exclusive details.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Sharjah.Sports.HD.ae,Sharjah Sports HD,80,87.6,100.0,Our Fields,"Debate National, regional, and international sports news and events are displayed, as are the most important and exclusive details.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,KSA.sports.1.ae,KSA sports 1,138,85.4,100.0,The Tom And Jerry Show,"Rick and Ginger aren't aware enough of the ongoing clashes and tricks between their cute pets; Tom, Jerry, and the bulldog Spike. Each animal has his unparalleled arsenal of tricks that is enough to beat the others. Stephen Stanton, Rick Zieff, Grey Griffin, Joey D'Auria, Kath Soucie, Darrell Van Citters, Stephanie Aurelio.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,KSA.sports.2.HD.ae,KSA sports 2 HD,138,85.4,100.0,The Tom And Jerry Show,"Rick and Ginger aren't aware enough of the ongoing clashes and tricks between their cute pets; Tom, Jerry, and the bulldog Spike. Each animal has his unparalleled arsenal of tricks that is enough to beat the others. Stephen Stanton, Rick Zieff, Grey Griffin, Joey D'Auria, Kath Soucie, Darrell Van Citters, Stephanie Aurelio.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Sharjah.Quran.TV.ae,Sharjah Quran TV,138,85.4,100.0,The Tom And Jerry Show,"Rick and Ginger aren't aware enough of the ongoing clashes and tricks between their cute pets; Tom, Jerry, and the bulldog Spike. Each animal has his unparalleled arsenal of tricks that is enough to beat the others. Stephen Stanton, Rick Zieff, Grey Griffin, Joey D'Auria, Kath Soucie, Darrell Van Citters, Stephanie Aurelio.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Saudi.Quran.TV.HD.ae,Saudi Quran TV HD,138,85.4,100.0,The Tom And Jerry Show,"Rick and Ginger aren't aware enough of the ongoing clashes and tricks between their cute pets; Tom, Jerry, and the bulldog Spike. Each animal has his unparalleled arsenal of tricks that is enough to beat the others. Stephen Stanton, Rick Zieff, Grey Griffin, Joey D'Auria, Kath Soucie, Darrell Van Citters, Stephanie Aurelio.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Saudi.Sunna.TV.HD.ae,Saudi Sunna TV HD,138,85.4,100.0,The Tom And Jerry Show,"Rick and Ginger aren't aware enough of the ongoing clashes and tricks between their cute pets; Tom, Jerry, and the bulldog Spike. Each animal has his unparalleled arsenal of tricks that is enough to beat the others. Stephen Stanton, Rick Zieff, Grey Griffin, Joey D'Auria, Kath Soucie, Darrell Van Citters, Stephanie Aurelio.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Al.Resala.ae,Al Resala,138,85.4,100.0,The Tom And Jerry Show,"Rick and Ginger aren't aware enough of the ongoing clashes and tricks between their cute pets; Tom, Jerry, and the bulldog Spike. Each animal has his unparalleled arsenal of tricks that is enough to beat the others. Stephen Stanton, Rick Zieff, Grey Griffin, Joey D'Auria, Kath Soucie, Darrell Van Citters, Stephanie Aurelio.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Al.Majd.ae,Al Majd,138,85.4,100.0,The Tom And Jerry Show,"Rick and Ginger aren't aware enough of the ongoing clashes and tricks between their cute pets; Tom, Jerry, and the bulldog Spike. Each animal has his unparalleled arsenal of tricks that is enough to beat the others. Stephen Stanton, Rick Zieff, Grey Griffin, Joey D'Auria, Kath Soucie, Darrell Van Citters, Stephanie Aurelio.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Al.Majd.Holy.Quran.ae,Al Majd Holy Quran,138,85.4,100.0,The Tom And Jerry Show,"Rick and Ginger aren't aware enough of the ongoing clashes and tricks between their cute pets; Tom, Jerry, and the bulldog Spike. Each animal has his unparalleled arsenal of tricks that is enough to beat the others. Stephen Stanton, Rick Zieff, Grey Griffin, Joey D'Auria, Kath Soucie, Darrell Van Citters, Stephanie Aurelio.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Makkah.TV.ae,Makkah TV,0,0,0.0,,,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
