country,name,id,provider,source,future_programmes,future_hours,desc_pct,sample_title,sample_desc,title_source,desc_source,title_desc_policy,language_audit,alternatives,alternative_sources,merged_alternatives,url,integration_status
,ميكس وان.eg,ميكس وان.eg,openepg,egypt1,33,36.7,84.8,Saraswatichandra,يتناول العمل قصة الحب بين (ساراس وكومود)، والتي تتأرجح أحداثها صعودا وهبوطا، لكنها رغم صدق المشاعر تنتهي بالفشل، ويظل (ساراس) يبادل (كومود) الحب غير المشروط رغم زواجها في نهاية المطاف من شخص آخر، فهل تكون هذه نهاية حبها؟ أم تحدث مواقف جديدة تجمعهما مجددا؟,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:egypt2:Mix ONE.eg,https://www.open-epg.com/files/egypt1.xml,VALIDATED_MISSING
MENA,MBC1,shahid.livechannel.816764,shahid,public-livestream-discovery,0,0,0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://shahid.mbc.net/en/livestream/MBC1/livechannel-816764,COMPARE_ONLY
MENA,Al Arabiya,shahid.livechannel.387286,shahid,public-livestream-discovery,0,0,0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://shahid.mbc.net/en/livestream/al-arabiya/livechannel-387286,COMPARE_ONLY
MENA,Boq’at Daw’ Channel,shahid.livechannel.49924010545146,shahid,public-livestream-discovery,0,0,0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://shahid.mbc.net/en/livestream/boq’at-daw’-channel/livechannel-49924010545146,COMPARE_ONLY
MENA,MBC Drama,shahid.livechannel.816781,shahid,public-livestream-discovery,0,0,0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://shahid.mbc.net/en/livestream/mbc-drama/livechannel-816781,COMPARE_ONLY
MENA,MBC Masr,shahid.livechannel.816776,shahid,public-livestream-discovery,0,0,0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://shahid.mbc.net/en/livestream/mbc-masr/livechannel-816776,COMPARE_ONLY
Egypt,Maspero Channel 1 / القناة الأولى,maspero.egypt.channel1,official,maspero,0,0.0,0.0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://www.maspero.eg/stream/2,COMPARE_ONLY
Egypt,Maspero Channel 2 / القناة الثانية,maspero.egypt.channel2,official,maspero,0,0.0,0.0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://www.maspero.eg/stream/3,COMPARE_ONLY
Yemen,Yemen TV / قناة اليمن,official.yemen.tv,official,yementv,0,0.0,0.0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://yementv.tv/live,COMPARE_ONLY
Palestine,Palestine TV,official.palestine.tv,official,pbc,0,0.0,0.0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://www.pbc.ps/live/,COMPARE_ONLY
Palestine,Palestine Mubasher / فلسطين مباشر,official.palestine.mubasher,official,pbc,0,0.0,0.0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://www.pbc.ps/palestinemubasherchannel/,COMPARE_ONLY
